symbol	CSC1_SC2	CSC1_SC3	CSC1_DC2	CSC1_DC3
BCS1L	5.1939	5.31525	5.35411	5.01843
BCYRN1	0.0936432	0.180352	0.433751	1.00183
BDH1	4.06351	3.77976	4.47106	3.73505
BDH2	1.8111	1.97328	2.56083	1.30898
BDKRB1	1.74969	1.20165	1.54375	1.02168
BDKRB2	2.93086	2.33052	2.20394	2.28271
BDNF	0.0140876	0.351661	0	0.360206
BDNF-AS	0.0286106	0.225309	0.0299139	0.366754
BDP1	2.6668	3.23732	1.71389	1.8347
BEAN1	0	0	0	0.144228
BECN1	5.15916	4.97462	4.57298	4.94302
BEGAIN	0.241093	0.105725	0.214397	0.234509
BEND2	0.0547982	0	0	0
BEND3	1.26079	1.11548	1.35337	0.989298
BEND3P3	0.0521123	0.113205	0.0386591	0.0154716
BEND4	0.0125746	0.00833514	0.00439691	0
BEND5	0	0	0.138671	0.0274731
BEND6	0.00683298	0.00678406	0.0630806	0.2841
BEND7	0.288832	1.19347	1.2277	2.26371
BEST1	2.12629	2.25656	1.98759	1.57641
BEST2	0	0.0472454	0.0300457	0
BEST3	0	0.0623792	0.0462647	0.241059
BEST4	0.060431	0.117616	0.197895	0.234654
BET1	2.63258	2.71066	2.42094	2.35625
BET1L	4.24066	4.81088	3.84646	4.54259
BEX1	0.0629202	0	0	0
BEX2	0	0	0	0.0665272
BEX4	0	0	0	0
BEX5	5.47906	5.60077	3.00915	2.51673
BFAR	3.77115	3.81861	3.38952	3.61584
BFSP1	0.469829	0.367057	0.412753	0.0697067
BFSP2	0	0	0	0
BGLAP	1.32432	1.45944	2.01736	1.47517
BGN	0.136948	0.196219	0.0769985	0.115795
BHLHA15	0.889634	1.33974	1.43723	1.83495
BHLHA9	0	0	0	0
BHLHB9	0.271604	0.0267245	0.139831	0.0704569
BHLHE22	0	0	0	0
BHLHE23	0	0	0.0361187	0
BHLHE40	4.62698	4.70751	3.34906	4.38961
BHLHE40-AS1	0.0368567	0.0898051	0.0385307	0
BHLHE41	1.13943	0.972452	1.34388	0.834712
BHMT	0	0	0.0153814	0.0363716
BHMT2	0.014952	0.0148453	0.0233917	0.087187
BICC1	0	0.0576542	0.024579	0.0176064
BICD1	0.986552	0.845781	1.12905	1.12961
BICD2	2.0479	2.49532	1.75757	2.20399
BID	3.132	3.39163	3.34138	3.91652
BIK	4.60083	5.65266	4.35557	5.42562
BIN1	5.07683	4.98662	4.77822	5.09633
BIN2	0.20966	0.470259	0.622299	0.483763
BIN3	3.84712	3.82279	3.71944	3.88236
BIRC2	3.61071	4.31161	3.02946	3.89974
BIRC3	3.57064	4.01863	1.96629	4.557
BIRC5	4.46274	4.23983	4.18161	4.43491
BIRC6	3.001	3.07038	2.39425	2.82549
BIRC7	0.112116	0.0427664	0.790011	2.99217
BIRC8	0.00911019	0	0	0
BIVM	2.30395	1.87801	2.14822	1.7106
BIVM-ERCC5	3.97054	3.65554	3.96726	3.44281
BLCAP	4.56173	4.55906	4.94134	4.84962
BLID	0	0	0	0
BLK	0.0141995	0.122182	0.065652	0.129148
BLM	2.4581	2.65848	2.66201	2.81823
BLMH	4.51642	4.42366	3.96223	4.09097
BLNK	0.321749	0.357412	1.58672	0.291727
BLOC1S1	6.77825	6.55256	7.28333	6.79455
BLOC1S1-RDH5	5.49697	5.27932	5.96353	5.48682
BLOC1S2	4.03909	3.833	3.71935	4.18499
BLOC1S3	1.93465	1.98339	2.01817	2.10908
BLOC1S4	1.87817	1.79055	1.74729	1.7562
BLOC1S5	1.92732	1.83763	1.65334	1.78206
BLOC1S5-TXNDC5	5.27768	5.51132	4.49188	5.2071
BLOC1S6	3.73671	3.81076	3.38935	3.76627
BLVRA	2.99836	2.57922	3.22172	3.73647
BLVRB	6.72158	6.59637	6.6569	7.01838
BLZF1	3.07983	3.38918	2.76973	3.62891
BMF	0.925288	0.915954	1.39534	1.8749
BMI1	3.90473	3.95559	3.48229	3.65074
BMP1	2.40013	2.48803	3.38033	4.33809
BMP10	0	0.0229808	0	0
BMP15	0	0	0	0
BMP2	2.05782	2.33605	2.13142	3.8261
BMP2K	2.12389	2.26975	1.52951	1.86912
BMP3	0	0	0	0
BMP4	4.21719	3.84661	3.83953	3.58842
BMP5	0	0	0	0
BMP6	2.35993	2.32823	2.64717	2.5386
BMP7	3.56	3.44871	3.54179	4.14326
BMP8A	0.743217	0.652484	0.543246	0.470655
BMP8B	1.77422	1.76973	1.69474	1.19477
BMPER	0	0	0.0114805	0.0254
BMPR1A	1.72663	1.51444	1.89948	1.92717
BMPR1B	0.0367833	0.188841	0.0350003	0.275695
BMPR2	1.02931	1.06528	1.05124	1.67372
BMS1	4.07877	4.24618	3.41582	3.56773
BMS1P1	2.91727	3.23078	2.83858	2.94787
BMS1P2	5.35774	4.7374	3.37985	5.19881
BMS1P4	1.91739	2.15856	1.34373	1.46731
BMS1P5	3.59687	3.29238	3.12402	3.03614
BMS1P6	5.35774	4.7374	3.37985	5.19881
BMX	0.428137	0.00725917	0.2068	0.0360724
BNC1	0	0	0	0.00796452
BNC2	0.00285638	0.00566625	0	0.00284679
BNIP1	3.95264	3.95116	3.5248	3.30542
BNIP2	4.5529	4.92862	4.31988	4.55853
BNIP3	0.49482	0.629602	0.616158	0.432443
BNIP3L	3.61769	3.31876	3.30188	3.64091
BNIPL	0.375605	0.250723	0.502447	0.225722
BOC	0.00860935	0.00428021	0.285853	0.0916903
BOD1	3.72854	3.73964	3.29634	3.18918
BOD1L1	2.06508	2.25061	1.53482	1.64952
BOD1L2	0	0	0	0
BOK	2.9416	2.96488	2.54822	3.20443
BOK-AS1	0.535756	0.562929	0.19659	0.666559
BOLA1	1.26599	1.29525	1.69406	1.04096
BOLA2	5.93058	5.78653	6.47191	6.18463
BOLA2B	5.93058	5.78653	6.47191	6.18463
BOLA3	6.50535	6.2903	6.60119	6.21393
BOLA3-AS1	0.100965	0.0833205	0.0559757	0.129922
BOLL	0.0258129	0	0.0135581	0.112321
BOP1	8.15945	8.5699	8.41751	8.11913
BORA	3.56177	3.53525	3.60364	3.82015
BPESC1	0	0	0.0109598	0
BPGM	2.53781	2.34764	2.02203	2.57108
BPHL	3.04471	3.05367	3.2558	2.88823
BPI	0	0	0	0
BPIFA1	0	0.0341436	0	0
BPIFA2	0	0.0681245	0.123206	0.165232
BPIFA3	0	0	0	0
BPIFA4P	0	0	0	0
BPIFB1	0	0	0.0111494	0
BPIFB2	0.0191218	0	0	0
BPIFB3	0	0	0	0
BPIFB4	0.0084751	0	0	0
BPIFB6	0	0	0	0
BPIFC	0	0	0	0.270605
BPNT1	4.36135	3.98791	3.81137	3.62881
BPTF	3.21335	3.42175	2.39645	2.59376
BPY2	0	0	0	0
BPY2B	0	0	0	0
BPY2C	0	0	0	0
BRAF	2.22329	2.48582	1.21061	1.69225
BRAP	3.79513	3.87332	3.33132	3.66499
BRAT1	4.78501	4.53845	5.27725	4.99105
BRCA1	2.38433	2.2213	2.08355	2.19639
BRCA2	1.11016	1.06894	0.751621	0.891773
BRCC3	4.40415	3.8907	4.2826	4.14933
BRD1	2.58978	3.59985	2.2473	2.95804
BRD2	7.16027	7.38731	5.89775	5.83353
BRD3	1.97869	1.61586	2.20828	1.89648
BRD4	3.89994	4.27279	2.70897	3.13613
BRD7	4.47478	4.4993	4.15287	4.21571
BRD7P3	0.0149399	0.0295156	0.00783309	0
BRD8	3.94005	3.86063	3.89075	3.85362
BRD9	4.92384	5.1546	4.74105	4.86645
BRDT	0	0	0.0168766	0.0267082
BRE	5.31115	5.09053	4.92291	4.86196
BRE-AS1	1.00267	1.06245	0.788145	0.759183
BREA2	0.0542921	2.83646	0.0567426	0.0890926
BRF1	3.84574	3.35216	3.74328	3.40261
BRF2	3.56201	3.69034	2.77999	3.21984
BRI3	5.85515	5.58523	6.23799	6.36237
BRI3BP	4.16732	3.89205	4.09104	3.98943
BRICD5	2.41907	2.06003	2.86588	2.30376
BRIP1	1.353	1.18514	1.28431	1.09525
BRIX1	6.27968	6.65	6.00598	5.74273
BRK1	5.93312	5.94434	5.93576	6.12852
BRMS1	5.67584	6.17435	5.94388	6.19965
BRMS1L	2.32913	2.053	1.70059	1.62286
BROX	4.2815	4.07522	3.16774	3.87772
BRPF1	3.41076	3.79509	3.04457	2.90416
BRPF3	2.51898	2.75654	2.08218	2.24516
BRS3	0.0764079	0.0257372	0.105487	0.0129754
BRSK1	0.22193	0.0697434	0.242017	0.271626
BRSK2	0.774616	0.601859	0.875269	0.762112
BRWD1	2.70133	2.97401	2.03457	2.61986
BRWD1-AS1	0	0	0.232056	0.0264094
BRWD1-IT2	0.391214	0.168263	0.421013	0.443735
BRWD3	1.36397	1.2634	1.02188	1.34749
BSCL2	5.31219	5.26486	5.58101	6.452
BSDC1	4.2993	4.454	3.34355	3.92595
BSG	8.49634	8.08687	8.87807	8.66908
BSN	0.0821439	0.122275	0.0835303	0.0884027
BSN-AS2	0.0281208	0.0209912	0.0438814	0.00705799
BSND	0	0.0781919	0.108676	0
BSPH1	0	0	0	0
BSPRY	3.38143	3.33613	2.82898	3.06844
BST1	0.447305	0.416954	1.2264	0.883851
BST2	5.17493	5.67321	5.73205	7.46306
BSX	0	0	0	0
BTAF1	4.03613	4.59599	3.3709	3.75827
BTBD1	4.81934	4.98043	3.98262	4.5671
BTBD10	3.81186	4.65017	3.24836	4.44226
BTBD11	0.143414	0.193464	0.282531	0.278295
BTBD16	1.01355	1.39555	1.88071	2.30175
BTBD17	0.0218587	0.0430844	0.0893321	0
BTBD18	0.0535577	0.10447	0.0126281	0.0764863
BTBD19	0.989803	0.880738	0.546213	0.580493
BTBD2	5.04578	5.01656	4.93141	4.81032
BTBD3	2.76255	2.87657	2.23918	2.23689
BTBD6	5.11905	4.85	5.27728	4.61061
BTBD7	2.58651	2.36165	2.07274	1.82504
BTBD8	0.369733	0.327531	0.175852	0.318485
BTBD9	1.01466	0.943346	1.1892	1.20715
BTC	2.24989	1.91758	2.64525	3.32508
BTD	1.51644	1.32698	1.59042	2.04546
BTF3	9.61047	9.49176	9.28514	9.02629
BTF3L4	2.23503	2.47303	1.91025	2.07805
BTF3P11	0	0	0.0298908	0
BTG1	4.45352	4.01554	3.2759	3.56426
BTG2	5.07062	4.09504	5.32918	2.85865
BTG3	4.00961	3.95604	4.37874	4.40801
BTG4	0	0	0	0.921993
BTK	0.0280354	0.0278362	0.0220403	0
BTLA	0.0228098	0.0226474	0.0119748	0
BTN1A1	0.557518	0.868045	0.884334	1.05596
BTN2A1	3.56946	3.61746	3.11224	3.20286
BTN2A2	1.94951	1.26568	1.31689	2.14683
BTN2A3P	1.94006	1.34573	1.37096	2.06788
BTN3A1	2.53791	1.85665	2.35818	2.67887
BTN3A2	2.84472	2.16532	2.35405	2.85294
BTN3A3	1.58839	1.39747	1.90285	2.09511
BTNL2	0	0	0	0
BTNL3	4.49936	5.14814	5.93453	4.57481
BTNL8	4.34683	5.01365	4.53258	4.32334
BTNL9	2.80697	2.52418	5.16794	2.42381
BTRC	1.50222	1.60327	1.58693	1.80296
BUB1	4.22403	3.88104	3.78555	4.55919
BUB1B	3.96591	3.80899	4.29152	4.69166
BUB3	5.5905	5.42739	5.65077	5.52337
BUD13	3.84577	4.20867	3.2803	3.76285
BUD31	6.80362	7.02409	6.84058	7.17365
BVES	0	0	0	0
BVES-AS1	0	0	0	0
BYSL	4.69254	4.86128	4.15531	3.84228
BZRAP1	1.71335	1.27049	1.50991	0.914814
BZRAP1-AS1	2.35192	2.14587	2.62518	2.43333
BZW1	6.2163	6.60775	5.56167	5.81776
BZW2	6.8239	6.90975	6.29906	6.45325
C10orf10	0.470412	0.318379	0.982294	1.74357
C10orf105	0	0.00772207	0.0242678	0.0154619
C10orf107	0	0.0290138	0.015357	0
C10orf11	0	0	0	0
C10orf111	0.402001	0.658748	0.331087	0.334197
C10orf113	1.19098	1.85346	0.502359	1.41988
C10orf114	0.0546939	0.0980548	0.0940496	0.792162
C10orf118	2.61253	2.85597	1.17182	1.9354
C10orf12	1.37579	1.45436	0.806342	1.00398
C10orf120	0	0	0	0
C10orf128	0	0	0	0
C10orf129	0	0	0	0.0631072
C10orf131	0.347433	0.0759681	0.140828	0.148676
C10orf137	2.64535	2.8397	1.80803	1.99106
C10orf2	4.2288	4.17845	4.21192	3.8566
C10orf25	0.105367	0.207152	0.104449	0.152225
C10orf32	2.86617	2.99873	2.78859	2.68746
C10orf32-AS3MT	1.02278	1.21564	0.807865	0.862362
C10orf35	0.453149	0.691148	0.741925	0.745236
C10orf40	0	0	0	0
C10orf53	0	0	0	0
C10orf54	0.691123	0.819391	1.96338	2.8285
C10orf55	0.827609	0.81065	0.626507	1.92755
C10orf62	0.0583192	0.029245	0.0307957	0.0293562
C10orf67	0	0	0	0
C10orf68	0.166692	0.0464759	0.14849	0.0981835
C10orf71	0	0	0	0
C10orf76	3.19751	3.158	2.74439	3.02572
C10orf82	0.484878	0.811324	0.51736	0.573397
C10orf88	1.73274	1.88363	1.75451	1.62296
C10orf90	0	0	0.0248876	0
C10orf91	0.941007	0.741598	0.904145	0.447051
C10orf95	1.62068	1.55538	1.44079	1.6051
C10orf99	3.57736	2.98392	4.67053	2.6772
C11orf1	2.93214	3.37201	3.66923	3.58334
C11orf16	0.145954	0.0742987	0.0396166	0.0190087
C11orf21	0.0252429	0.0496986	0	0.0251587
C11orf24	4.31088	4.76852	4.08791	4.67956
C11orf30	1.82863	1.9705	1.45967	1.87973
C11orf31	6.33826	6.3976	5.83801	6.03406
C11orf34	0.0702131	0.0922325	0	0.0119021
C11orf35	2.28051	2.13168	2.86979	2.77939
C11orf40	0	0	0	0
C11orf42	0.237931	0.391243	0.23368	0.290862
C11orf44	0	0.0307053	0.0108582	0
C11orf45	0.277467	0.43767	0.151746	0.554341
C11orf48	5.58041	5.86239	5.82048	6.24569
C11orf49	3.33603	3.23095	3.10245	2.99605
C11orf52	1.72392	1.87862	2.18194	2.22433
C11orf53	0.196917	0	0.0717525	0.0850589
C11orf54	3.01142	3.09597	2.76004	2.92837
C11orf57	3.45794	3.81217	2.80887	3.33695
C11orf58	4.81107	5.11804	4.44699	5.05184
C11orf63	0.0116927	0	0	0
C11orf65	0.544766	0.624489	0.578089	0.4287
C11orf68	3.70517	4.01381	2.59261	3.49442
C11orf70	0.279149	0.190676	0.200216	0
C11orf71	1.56274	1.79832	1.30874	1.35321
C11orf73	3.91426	4.24848	3.82677	4.23317
C11orf74	2.33133	2.34822	2.92189	2.40666
C11orf80	3.38332	3.44864	4.00547	4.25042
C11orf82	2.30137	2.96134	1.88458	2.38817
C11orf83	3.52313	3.80707	3.90519	3.62663
C11orf84	1.30048	1.54893	1.24274	1.21909
C11orf85	0	0.105877	0	0.0646962
C11orf86	0.592661	1.10318	0.76639	0.427313
C11orf87	0	0	0	0
C11orf88	0	0	0.0268215	1.22708
C11orf91	0.567816	0.98972	0.470694	1.43105
C11orf92	0.699772	0.643352	0.577415	0.393302
C11orf93	2.30621	2.09919	1.85783	1.79512
C11orf94	0.503528	0.390678	0.285048	0.313623
C11orf95	1.35376	1.62931	2.23524	2.13697
C11orf96	0.0546131	0.027369	0.0710012	0
C12orf10	5.91509	5.76443	5.95761	5.58011
C12orf23	1.74399	2.15992	1.90461	2.47466
C12orf29	3.55892	3.48702	3.23278	3.41666
C12orf36	0.659955	0.634167	0.706498	1.73305
C12orf39	0	0	0	0.232872
C12orf4	2.78721	2.94418	2.63863	3.08479
C12orf40	0	0	0	0.0261377
C12orf42	0	0.0543892	0	0
C12orf43	3.35327	3.34296	2.64171	2.95392
C12orf44	5.46726	5.84049	5.16024	5.14665
C12orf45	5.84514	5.82039	5.69108	5.47206
C12orf49	3.28083	3.5737	2.50675	3.51808
C12orf5	1.90035	2.3174	1.33519	1.85779
C12orf50	0	0.0319254	0	0.0320466
C12orf52	4.27378	4.3126	4.13988	4.26432
C12orf54	0	0	0	0.0408492
C12orf56	0.0177531	0	0	0.0351733
C12orf57	7.24382	7.30852	7.57328	6.24203
C12orf60	0.701015	0.707041	1.03359	0.869962
C12orf61	0.719421	0.546606	0.354416	0.231866
C12orf65	2.85181	2.75839	3.05219	2.72551
C12orf66	1.90838	1.76825	1.4305	1.19307
C12orf68	0	0	0	0
C12orf71	0.196425	0	0.151806	0.195807
C12orf73	2.74025	2.75408	2.80383	2.35104
C12orf74	0.123825	0.0675155	0.0308776	0.0865608
C12orf75	6.50881	6.20319	5.99201	6.9386
C12orf76	1.48043	1.48055	1.01363	1.09415
C12orf77	0	0	0	0
C13orf35	0.00822244	0	0.00859979	0.00819487
C13orf45	0.16431	0.149099	0.284457	0.259099
C14orf1	5.46571	4.95919	5.47379	5.03372
C14orf105	0.224371	0.360079	0.31036	0.417276
C14orf119	4.02726	3.91221	3.89138	3.50973
C14orf132	0.0782567	0.10271	0.0574689	0.0216945
C14orf142	2.68838	2.36222	2.66006	2.29509
C14orf159	2.88656	2.53059	3.42245	2.70329
C14orf166	7.78848	7.31056	7.67397	7.14597
C14orf166B	0	0.0210072	0	0
C14orf169	2.6146	2.5662	2.80788	2.56954
C14orf177	0	0	0	0
C14orf178	1.83098	1.42919	1.06987	1.12807
C14orf180	0	0	0	0
C14orf182	0.814119	0.708779	0.721124	0.424591
C14orf183	0.0188295	0	0.0196903	0.0187666
C14orf2	8.10932	7.63442	8.35812	7.90161
C14orf23	0.0745231	0.0795401	0.0364593	0.0461608
C14orf28	1.15116	0.88671	0.823721	0.707147
C14orf37	0.587724	0.506773	0.416559	0.465781
C14orf39	0	0	0	0
C14orf64	0	0	0	0
C14orf79	3.32388	2.84468	3.0875	2.40115
C14orf80	4.57254	4.01916	4.71354	3.85677
C14orf93	2.04625	1.39912	2.19203	1.42015
C15orf26	0.0798767	0.079319	0.0718192	0.123212
C15orf27	0.0750424	0.159138	0.0860154	0.131961
C15orf32	0	0	0	0
C15orf37	1.25272	1.34354	0.94063	1.1618
C15orf38	2.92657	3.00342	2.38096	2.44627
C15orf38-AP3S2	3.31192	3.23536	2.82728	2.77487
C15orf39	2.70817	3.24573	3.09764	3.9171
C15orf40	3.53141	3.51229	3.53511	3.45812
C15orf41	1.91609	1.88951	2.38214	2.43108
C15orf43	0.707438	0.70342	0.372102	1.03653
C15orf48	7.23646	6.98956	8.10982	7.83538
C15orf52	2.08776	1.98817	3.22851	4.48989
C15orf53	0	0	0	0
C15orf54	0	0	0	0
C15orf56	0.275924	0.330084	0.195197	0.499904
C15orf57	3.04693	3.1463	3.11467	3.42705
C15orf59	0	0	0	0
C15orf60	0.0587208	0.0196989	0.020747	0
C15orf61	2.67183	2.542	2.93791	2.4692
C15orf62	1.4206	1.062	2.05608	1.79326
C16orf11	0.119904	0.0327274	0.0173331	0.0807679
C16orf13	6.48426	6.29884	6.9724	6.50645
C16orf3	0.783766	0.746794	0.489929	0.726813
C16orf45	0.247861	0.298099	0.523959	0.200946
C16orf46	0.610833	0.499782	0.229992	0.35872
C16orf52	1.15039	1.35468	1.18451	1.12889
C16orf54	0.0351595	0.0140656	0	0.00707698
C16orf55	1.66352	1.61832	2.01054	1.4101
C16orf58	4.97011	4.91126	4.99192	4.64711
C16orf59	3.52103	3.35735	3.84287	3.39067
C16orf62	2.34915	1.64883	2.12259	1.79433
C16orf70	2.27673	2.29241	2.15603	2.65893
C16orf71	0.124243	0.0662544	0.109991	0.104982
C16orf72	3.92288	4.49366	2.753	2.86047
C16orf74	1.62518	1.57076	1.13418	1.58815
C16orf78	0	0	0	0
C16orf80	3.81217	3.79947	3.32612	3.32595
C16orf82	0	0	0	0
C16orf86	0.13873	0.163825	0.349945	0.16442
C16orf87	2.49096	2.51063	2.34167	2.46543
C16orf89	0.0118806	0.135556	0.0247442	0.0118409
C16orf90	0.294786	0.40441	0.062762	0.0401807
C16orf91	3.46365	3.43178	3.63365	3.56803
C16orf92	0	0.040426	0	0
C16orf93	2.12902	2.04823	2.07336	1.90744
C16orf95	0.940849	0.859216	0.761638	0.987557
C16orf96	0	0	0	0
C16orf97	0	0	0	0
C16orf98	2.57241	2.77678	4.29087	3.21732
C17orf100	0.479611	0.334597	0.776791	0.426438
C17orf102	0	0	0	0
C17orf103	0.27676	0.352075	0.553469	1.14309
C17orf104	0.146316	0.0651498	0.118873	0.102521
C17orf105	0	0	0	0
C17orf107	0.386858	0.519287	0.54247	0.435171
C17orf112	0	0	0	0
C17orf47	0.0512076	0.0171487	0.105128	0.00863278
C17orf49	6.12049	5.85955	5.7871	5.58287
C17orf50	0.136702	0.119477	0	0.119918
C17orf51	1.02466	1.1038	0.689761	0.974417
C17orf53	2.4676	2.75276	1.96745	2.23724
C17orf58	2.3374	2.09378	2.38735	2.24933
C17orf59	2.17634	1.94995	2.07487	1.78566
C17orf61-PLSCR3	4.04793	3.90106	4.02342	4.7776
C17orf62	2.85002	2.72697	3.04339	3.36618
C17orf64	0	0	0	0
C17orf66	0.0909238	0.0367974	0.235017	0.0460253
C17orf67	3.93351	3.76987	1.50484	1.24131
C17orf70	3.32074	3.32999	3.43049	3.29799
C17orf72	0.174622	0.178703	0.204087	0.499439
C17orf74	0.128572	0	0	0
C17orf75	2.70977	2.59099	2.52592	2.18897
C17orf76-AS1	9.86306	9.82263	9.0604	8.9151
C17orf77	0.0852522	0.0429499	0.145515	0.0572017
C17orf78	0.262423	0.235814	1.01048	0.104893
C17orf80	1.70002	1.84087	1.81227	1.85931
C17orf82	0	0	0	0
C17orf85	2.98565	3.06522	2.89317	2.95612
C17orf89	4.53237	4.40053	4.82998	4.62422
C17orf96	2.53106	2.31091	3.55267	3.39505
C17orf97	0.726583	0.691929	1.04013	0.44463
C17orf98	0	0	0	0.0321773
C17orf99	0.397563	0.174195	0.0860502	0.174826
C18orf21	4.26385	4.10632	4.02028	3.83934
C18orf25	2.66428	2.67143	2.22195	2.41181
C18orf32	3.61795	3.23979	3.91821	4.22328
C18orf42	0	0.0158522	0.0166968	0
C18orf54	0.785931	0.815178	0.616808	0.753767
C18orf56	3.208	3.18685	3.00585	3.54203
C18orf61	0.0336608	0.046577	0.0695449	0.326641
C18orf63	0	0	0	0
C18orf8	4.47737	4.26778	4.18287	4.42329
C19orf10	6.37729	6.51121	6.37142	6.82483
C19orf12	1.04166	1.19469	1.25573	1.46927
C19orf18	0.307984	0.22253	0.920842	0.27414
C19orf24	5.4727	5.47504	5.96503	5.57715
C19orf25	3.24727	3.1073	3.37813	3.05933
C19orf26	1.2227	0.931786	1.03586	1.42643
C19orf33	7.92846	7.96856	8.93302	8.64796
C19orf35	0.256254	0.0696771	0.209641	0.0969913
C19orf38	0.262977	0.575754	0.18312	0.0334332
C19orf40	2.13353	2.00618	1.35282	1.8126
C19orf43	6.23278	6.23141	6.84109	6.28412
C19orf44	2.34721	2.50745	2.21409	2.178
C19orf45	1.09538	0.756373	1.16149	0.260244
C19orf47	2.96084	2.98418	2.71364	2.62516
C19orf48	6.99824	6.76157	6.40238	5.79685
C19orf52	2.78654	2.96604	2.56647	2.55883
C19orf53	6.19853	5.97799	6.52082	6.09019
C19orf54	3.08194	2.81976	2.97046	2.4854
C19orf55	2.1768	2.06833	1.94607	1.95794
C19orf57	1.03047	1.08715	0.90671	0.529177
C19orf59	0	0.0139586	0	0
C19orf60	4.8825	4.58663	5.35688	4.84591
C19orf66	2.13789	2.04869	3.49193	4.05906
C19orf67	0.0253178	0	0	0.0252334
C19orf69	0.112686	0.0382753	0.422141	0.165364
C19orf70	5.23229	5.41654	5.71368	5.4003
C19orf71	2.95914	3.14195	3.23058	3.4096
C19orf73	0.986458	0.629436	0.73666	0.566015
C19orf77	4.96878	4.84381	6.70243	5.29893
C19orf80	1.66628	2.17461	1.65586	1.52299
C19orf81	1.15203	1.22025	1.13156	0.451137
C1D	3.14961	2.83641	2.5677	2.92392
C1GALT1	2.75407	2.79269	3.53274	3.705
C1GALT1C1	2.45958	2.35264	2.91	2.99388
C1orf100	0.0753177	0.180175	0.153312	0.111191
C1orf101	0	0.0179807	0	0
C1orf105	0.488636	0.51202	0.783184	1.50606
C1orf106	4.37953	4.3518	4.50149	4.62169
C1orf109	3.45186	3.28509	2.93882	2.80749
C1orf110	0.0922404	0.0350347	0.0963475	0.0118181
C1orf111	0.698147	0.77865	0.0956322	0.860938
C1orf112	2.82969	2.58472	2.78917	2.82319
C1orf115	2.79918	2.87519	3.47637	3.26936
C1orf116	4.57031	4.18699	4.11872	4.96922
C1orf122	4.24262	4.27294	4.02133	4.23876
C1orf123	4.64718	4.38356	4.84106	4.15802
C1orf127	0.103298	0.0393283	0.133635	0
C1orf131	3.86025	3.89766	4.34003	3.70445
C1orf140	0	0	0	0.0122477
C1orf141	0	0.0250633	0	0
C1orf145	0.219498	0.282217	0.164515	0.151416
C1orf146	0	0.0480497	0.0752203	0.0482312
C1orf158	0.0707735	0	0	0
C1orf159	3.32599	2.91798	3.79916	3.41813
C1orf162	0.490647	0.597517	0.908168	0.572637
C1orf168	0.0106422	0	0.0111302	0.00531303
C1orf170	0.875193	0.987716	1.78126	1.79981
C1orf172	3.49565	3.54316	3.51798	3.34106
C1orf173	0	0	0	0
C1orf174	3.69975	3.95873	3.17924	3.23119
C1orf177	0.184007	0.118094	0.134038	0.0994386
C1orf180	0.0127583	0.0252241	0.10344	0.0807162
C1orf185	0	0	0	0
C1orf186	0	0.0435791	0	0.0293095
C1orf189	0.125442	0.05113	0.0271607	0
C1orf192	1.112	1.29011	0.581335	0.79382
C1orf194	0.414592	0.555526	0.371012	0.0974128
C1orf198	4.18873	3.95156	4.06881	3.57932
C1orf200	0	0	0	0
C1orf204	0.0999014	0.236296	0.330151	0.140235
C1orf21	2.48065	2.30426	2.40344	1.36888
C1orf210	2.69589	2.77696	2.52146	2.66644
C1orf213	1.27813	1.10952	0.811559	0.669317
C1orf216	0.840103	0.821441	0.876316	0.83796
C1orf220	1.55993	1.51123	0.584118	0.556406
C1orf226	3.04448	3.29483	1.53239	2.17081
C1orf227	0	0	0.0747354	0.0712923
C1orf228	0.145903	0.0323001	0.308647	0
C1orf229	0.0796014	0.0479451	0.0254557	0.0559934
C1orf233	2.41714	2.15038	2.97973	2.02637
C1orf27	3.80594	3.91468	3.45046	3.6184
C1orf35	4.2473	4.44498	4.44237	4.09514
C1orf43	6.36193	6.23725	5.58779	5.68666
C1orf50	3.2903	3.27538	2.8802	2.64261
C1orf51	0.304853	0.516729	0.592281	0.150459
C1orf52	3.21388	3.35975	2.26959	2.34111
C1orf53	1.73355	1.52633	2.63647	2.18625
C1orf54	1.31185	1.80135	1.2311	1.61305
C1orf56	1.77091	1.7148	1.95624	1.9595
C1orf61	0.120925	0.821115	0.146262	0.750674
C1orf63	4.42351	4.18761	4.05252	3.63806
C1orf64	0	0	0	0
C1orf65	0	0	0	0
C1orf68	0	0	0	0
C1orf74	1.66651	1.6594	1.79931	1.47653
C1orf85	3.99631	3.46967	4.33162	5.07188
C1orf86	5.34914	5.14639	5.36761	4.97749
C1orf87	0	0	0	0
C1orf94	0	0.0121633	0	0
C1orf95	0.0190601	0.0282941	0.0347013	0.0142708
C1QA	0.189016	0	0	0
C1QB	0.198151	0	0.0183972	0
C1QBP	8.35844	8.32051	8.177	7.8804
C1QC	0.175116	0	0	0
C1QL1	0	0	0.0255454	0.0243493
C1QL2	0	0.0177975	0	0
C1QL3	0	0.0291405	0.0681471	0.0650007
C1QL4	0.152703	0.151662	0.0906947	0.0781142
C1QTNF1	0.616836	0.773349	1.74234	1.51879
C1QTNF2	0	0.0152272	0	0.0379141
C1QTNF3	0.434622	0.185864	0.459607	0.191014
C1QTNF3-AMACR	3.08024	2.76673	3.18548	2.67336
C1QTNF4	0.0639068	0.182569	0.203649	0.0761053
C1QTNF5	0	0	0	0
C1QTNF6	0.158727	0.127467	0.323567	1.48568
